time,seconds_elapsed,latitude,longitude,altitude,speed,horizontalAccuracy
1789984800000000000,0,42.00016188,-71.99830578,110,0.000,4.00
1789984801000000000,1,42.00018167,-71.99827978,110,3.076,4.05
1789984802000000000,2,42.00020100,-71.99825510,110,2.963,4.10
1789984803000000000,3,42.00021986,-71.99823190,110,2.841,4.15
1789984804000000000,4,42.00023824,-71.99821035,110,2.711,4.20
1789984805000000000,5,42.00025614,-71.99819061,110,2.573,4.25
1789984806000000000,6,42.00027354,-71.99817281,110,2.430,4.30
1789984807000000000,7,42.00029043,-71.99815711,110,2.283,4.34
1789984808000000000,8,42.00030682,-71.99814364,110,2.135,4.39
1789984809000000000,9,42.00032269,-71.99813253,110,1.989,4.43
1789984810000000000,10,42.00033804,-71.99812391,110,1.850,4.48
1789984811000000000,11,42.00035287,-71.99811789,110,1.723,4.52
1789984812000000000,12,42.00036718,-71.99811457,110,1.615,4.56
1789984813000000000,13,42.00038097,-71.99811405,110,1.534,4.61
1789984814000000000,14,42.00039424,-71.99811640,110,1.488,4.64
1789984815000000000,15,42.00040700,-71.99812170,110,1.484,4.68
1789984816000000000,16,42.00041924,-71.99813000,110,1.524,4.72
1789984817000000000,17,42.00043097,-71.99814134,110,1.606,4.75
1789984818000000000,18,42.00044219,-71.99815577,110,1.726,4.78
1789984819000000000,19,42.00045292,-71.99817329,110,1.876,4.81
1789984820000000000,20,42.00046315,-71.99819392,110,2.050,4.84
1789984821000000000,21,42.00047290,-71.99821764,110,2.240,4.87
1789984822000000000,22,42.00048218,-71.99824444,110,2.443,4.89
1789984823000000000,23,42.00049099,-71.99827427,110,2.653,4.91
1789984824000000000,24,42.00049934,-71.99830709,110,2.867,4.93
1789984825000000000,25,42.00050725,-71.99834284,110,3.082,4.95
1789984826000000000,26,42.00051472,-71.99838143,110,3.296,4.96
1789984827000000000,27,42.00052178,-71.99842279,110,3.507,4.98
1789984828000000000,28,42.00052842,-71.99846682,110,3.712,4.99
1789984829000000000,29,42.00053467,-71.99851340,110,3.911,4.99
1789984830000000000,30,42.00054053,-71.99856241,110,4.102,5.00
1789984831000000000,31,42.00054602,-71.99861372,110,4.284,5.00
1789984832000000000,32,42.00055116,-71.99866718,110,4.455,5.00
1789984833000000000,33,42.00055595,-71.99872265,110,4.614,5.00
1789984834000000000,34,42.00056041,-71.99877996,110,4.762,4.99
1789984835000000000,35,42.00056456,-71.99883896,110,4.897,4.98
